collegeID,name,acceptrate,size,public
Princeton,Princeton,0.074,5142,-1
Harvard,Harvard,0.06,19929,-1
Yale,Yale,0.063,12336,-1
Columbia,Columbia,0.07,24221,-1
Stanford,Stanford,0.051,16795,-1
UChicago,UChicago,0.088,12558,-1
MIT,MIT,0.079,11319,-1
Duke,Duke,0.114,15856,-1
UPenn,UPenn,0.104,21296,-1
CalTech,CalTech,0.088,2209,-1
JohnsHopkins,JohnsHopkins,0.15,21484,-1
Dartmouth,Dartmouth,0.115,6298,-1
Northwestern,Northwestern,0.131,20336,-1
Brown,Brown,0.087,9181,-1
Cornell,Cornell,0.142,21850,-1
Vanderbilt,Vanderbilt,0.131,12686,-1
WashU,WashU,0.171,14348,-1
Rice,Rice,0.151,6621,-1
NotreDame,NotreDame,0.211,12179,-1
UCB,UCB,0.16,37581,1
Emory,Emory,0.268,14769,-1
Georgetown,Georgetown,0.174,17858,-1
CarnegieMellon,CarnegieMellon,0.246,13285,-1
UCLA,UCLA,0.186,43239,1
USC,USC,0.18,42469,1
