collegeID,name,acceptrate,size,public,finAidPct,instatePct
Princeton,Princeton,7.40%,5142,-1,0,0
Harvard,Harvard,6.00%,19929,-1,0.75,0
Yale,Yale,6.30%,12336,-1,0,0
Columbia,Columbia,7.00%,24221,-1,0,0
Stanford,Stanford,5.10%,16795,-1,0,0
UChicago,UChicago,8.80%,12558,-1,0,0
MIT,MIT,7.90%,11319,-1,0,0
Duke,Duke,11.40%,15856,-1,0,0
UPenn,UPenn,10.40%,21296,-1,0,0
CalTech,CalTech,8.80%,2209,-1,0,0
JohnsHopkins,JohnsHopkins,15.00%,21484,-1,0,0
Dartmouth,Dartmouth,11.50%,6298,-1,0,0
Northwestern,Northwestern,13.10%,20336,-1,0,0
Brown,Brown,8.70%,9181,-1,0,0
Cornell,Cornell,14.20%,21850,-1,0,0
Vanderbilt,Vanderbilt,13.10%,12686,-1,0,0
WashU,WashU,17.10%,14348,-1,0,0
Rice,Rice,15.10%,6621,-1,0,0
NotreDame,NotreDame,21.10%,12179,-1,0,0
UCB,UCB,16.00%,37581,1,0.66,0
Emory,Emory,26.80%,14769,-1,0,0
Georgetown,Georgetown,17.40%,17858,-1,0,0
CarnegieMellon,CarnegieMellon,24.60%,13285,-1,0,0
UCLA,UCLA,18.60%,43239,1,0,0
USC,USC,18.00%,42469,1,0,0
